id_type,type,,,,,
1,tvseries,,,,,
2,movie,,,,,
3,tvspecial,,,,,
4,tvminiseries,,,,,
5,short,,,,,
6,video,,,,,
7,tvmovie,,,,,
8,tvshort,,,,,
9,videogame,,,,,
10,tvepisode,,,,,
11,,,,,,
